#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        QNGFile2|  1.04e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.91150351|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.02991805|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.05604033|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.49411769|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.99876012|   WEAK   
        diehard_opso|   0|   2097152|     100|0.62397855|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.42491133|  PASSED  
         diehard_dna|   0|   2097152|     100|0.75081051|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.85512291|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.32733278|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.76094232|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.95432678|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.05246045|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00990883|  PASSED  
        diehard_sums|   0|       100|     100|0.78610220|  PASSED  
        diehard_runs|   0|    100000|     100|0.78494708|  PASSED  
        diehard_runs|   0|    100000|     100|0.65397002|  PASSED  
       diehard_craps|   0|    200000|     100|0.00394678|   WEAK   
       diehard_craps|   0|    200000|     100|0.88028056|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.38421386|  PASSED  
            sts_runs|   2|    100000|     100|0.33805848|  PASSED  
          sts_serial|   1|    100000|     100|0.30011393|  PASSED  
          sts_serial|   2|    100000|     100|0.76292776|  PASSED  
          sts_serial|   3|    100000|     100|0.15732699|  PASSED  
          sts_serial|   3|    100000|     100|0.38937240|  PASSED  
