#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        QNGFile1|  1.86e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.91661589|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.05812486|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.15232721|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.13376439|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.65576135|  PASSED  
        diehard_opso|   0|   2097152|     100|0.00003319|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.02686241|  PASSED  
         diehard_dna|   0|   2097152|     100|0.57508120|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.54437580|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.39868699|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.30014525|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.97418623|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.98235718|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00000000|  FAILED  
        diehard_sums|   0|       100|     100|0.22487475|  PASSED  
        diehard_runs|   0|    100000|     100|0.15638500|  PASSED  
        diehard_runs|   0|    100000|     100|0.66514740|  PASSED  
       diehard_craps|   0|    200000|     100|0.93066815|  PASSED  
       diehard_craps|   0|    200000|     100|0.77514765|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.36763429|  PASSED  
            sts_runs|   2|    100000|     100|0.31504133|  PASSED  
          sts_serial|   1|    100000|     100|0.91861130|  PASSED  
          sts_serial|   2|    100000|     100|0.34250297|  PASSED  
          sts_serial|   3|    100000|     100|0.48010201|  PASSED  
          sts_serial|   3|    100000|     100|0.99319474|  PASSED  
          sts_serial|   4|    100000|     100|0.49769858|  PASSED  
          sts_serial|   4|    100000|     100|0.92683689|  PASSED  
          sts_serial|   5|    100000|     100|0.18559941|  PASSED  
          sts_serial|   5|    100000|     100|0.42378051|  PASSED  
          sts_serial|   6|    100000|     100|0.05851503|  PASSED  
